iteration,total,all2all
i1,26.6911,25.5936
i2,28.2382,25.48
i3,30.6404,27.0018
i4,30.1054,27.3798
i5,30.3251,27.6448
i6,32.014,27.7559
i7,31.6732,28.4353
i8,34.5636,27.7855
i9,31.8123,27.9249
i10,31.0623,27.7749
i11,30.1093,27.4088
i12,30.5733,25.5655
i13,27.7614,24.9847
i14,29.3852,25.47
i15,27.9765,23.4027
i16,27.6031,23.4303
i17,30.0236,22.9311
i18,29.0415,23.2987
i19,32.7257,21.2475
i20,25.304,21.4481
i21,24.9971,21.0656
i22,25.9382,22.4189
i23,25.7561,21.7567
i24,25.2261,21.9839
i25,32.3702,21.6753
i26,31.7904,20.8899
i27,24.0243,20.7841
i28,24.9482,21.4205
i29,23.7314,20.2299
i30,28.3183,21.7189
i31,24.0203,20.4122
